Team,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Arsenal,3,2,5,6,5,8,8,5,2,2
Aston Villa,17,20,,,,17,11,14,7,3
Birmingham,,,,,,,,,,
Blackburn,,,,,,,,,,
Blackpool,,,,,,,,,,
Bolton,,,,,,,,,,
Bournemouth,,16,9,12,14,18,,,15,14
Brentford,,,,,,,,13,9,11
Brighton,,,,15,17,15,16,9,6,8
Burnley,19,,16,7,15,10,17,18,,19
Cardiff,,,,,18,,,,,
Charlton,,,,,,,,,,
Chelsea,1,10,1,5,3,4,4,3,12,12
Coventry,,,,,,,,,,
Crystal Palace,10,15,14,11,12,14,14,12,11,16
Derby,,,,,,,,,,
Everton,11,11,7,8,8,12,10,16,17,15
Fulham,,,,,19,,18,,10,10
Huddersfield,,,,16,20,,,,,
Hull,18,,18,,,,,,,
Ipswich,,,,,,,,,,
Leeds,,,,,,,9,17,19,
Leicester,14,1,12,9,9,5,5,8,18,
Liverpool,6,8,4,4,2,1,3,2,5,1
Luton,,,,,,,,,,18
Man City,2,4,3,2,1,2,1,1,1,4
Man United,4,5,6,1,6,3,2,6,3,6
Middlesboro,,,,,,,,,,
Middlesbrough,,,19,,,,,,,
Newcastle,15,18,,10,13,13,12,11,4,7
Nott'm Forest,,,,,,,,,16,17
Norwich,,19,,,,20,,20,,
Portsmouth,,,,,,,,,,
QPR,,,,,,,,,,
Reading,20,,,,,,,,,
Sheffield United,,,,,,9,20,,,20
Southampton,7,6,8,17,16,11,15,15,20,
Stoke,9,9,13,19,,,,,,
Sunderland,16,17,20,,,,,,,
Swansea,8,12,15,18,,,,,,
Tottenham,5,3,2,3,4,6,7,4,8,5
Watford,,13,17,14,11,19,,19,,
West Brom,13,14,10,20,,,19,,,
West Ham,12,7,11,13,10,16,6,7,14,9
Wigan,,,,,,,,,,
Wolves,,,,,7,7,13,10,13,13
Wimbledon,,,,,,,,,,
